Day,mean_ppmv_o3,Year,mean_ppmv_co,mean_ppmv_temp,mean_ppmv_o3_lag_1,mean_ppmv_co_lag_1,mean_ppmv_temp_lag_1,mean_ppmv_o3_lag_2,mean_ppmv_co_lag_2,mean_ppmv_temp_lag_2,mean_ppmv_o3_lag_3,mean_ppmv_co_lag_3,mean_ppmv_temp_lag_3,mean_ppmv_o3_lag_4,mean_ppmv_co_lag_4,mean_ppmv_temp_lag_4,mean_ppmv_o3_lag_5,mean_ppmv_co_lag_5,mean_ppmv_temp_lag_5
106,2.2464103987280015e-06,2021,5.050713399476182e-07,231.8550952727414,2.2351617027324675e-06,4.962389815965877e-07,231.3161775691655,2.258288168566684e-06,5.073660719725135e-07,231.21681487503417,2.351881056365209e-06,5.179591305063455e-07,231.0602445738873,2.326405756421828e-06,5.402271393994892e-07,231.1084055631199,2.3689820130870593e-06,5.686441354866057e-07,230.7973158698392
107,2.281345469601435e-06,2021,4.781650293991186e-07,232.9587307283885,2.2464103987280015e-06,5.050713399476182e-07,231.8550952727414,2.2351617027324675e-06,4.962389815965877e-07,231.3161775691655,2.258288168566684e-06,5.073660719725135e-07,231.21681487503417,2.351881056365209e-06,5.179591305063455e-07,231.0602445738873,2.326405756421828e-06,5.402271393994892e-07,231.1084055631199
108,2.2495119288508186e-06,2021,4.4615524741726694e-07,233.57123603364448,2.281345469601435e-06,4.781650293991186e-07,232.9587307283885,2.2464103987280015e-06,5.050713399476182e-07,231.8550952727414,2.2351617027324675e-06,4.962389815965877e-07,231.3161775691655,2.258288168566684e-06,5.073660719725135e-07,231.21681487503417,2.351881056365209e-06,5.179591305063455e-07,231.0602445738873
109,2.249803037078095e-06,2021,4.132441910938491e-07,234.04888655228416,2.2495119288508186e-06,4.4615524741726694e-07,233.57123603364448,2.281345469601435e-06,4.781650293991186e-07,232.9587307283885,2.2464103987280015e-06,5.050713399476182e-07,231.8550952727414,2.2351617027324675e-06,4.962389815965877e-07,231.3161775691655,2.258288168566684e-06,5.073660719725135e-07,231.21681487503417
110,2.266562538439685e-06,2021,3.939411296763087e-07,234.31323945230798,2.249803037078095e-06,4.132441910938491e-07,234.04888655228416,2.2495119288508186e-06,4.4615524741726694e-07,233.57123603364448,2.281345469601435e-06,4.781650293991186e-07,232.9587307283885,2.2464103987280015e-06,5.050713399476182e-07,231.8550952727414,2.2351617027324675e-06,4.962389815965877e-07,231.3161775691655
111,2.3201908075977664e-06,2021,3.7565663216301057e-07,234.24551366695852,2.266562538439685e-06,3.939411296763087e-07,234.31323945230798,2.249803037078095e-06,4.132441910938491e-07,234.04888655228416,2.2495119288508186e-06,4.4615524741726694e-07,233.57123603364448,2.281345469601435e-06,4.781650293991186e-07,232.9587307283885,2.2464103987280015e-06,5.050713399476182e-07,231.8550952727414
112,2.330934356629834e-06,2021,3.814155772581537e-07,234.24042673520322,2.3201908075977664e-06,3.7565663216301057e-07,234.24551366695852,2.266562538439685e-06,3.939411296763087e-07,234.31323945230798,2.249803037078095e-06,4.132441910938491e-07,234.04888655228416,2.2495119288508186e-06,4.4615524741726694e-07,233.57123603364448,2.281345469601435e-06,4.781650293991186e-07,232.9587307283885
113,2.355858096082171e-06,2021,3.638442992000293e-07,234.20120277586727,2.330934356629834e-06,3.814155772581537e-07,234.24042673520322,2.3201908075977664e-06,3.7565663216301057e-07,234.24551366695852,2.266562538439685e-06,3.939411296763087e-07,234.31323945230798,2.249803037078095e-06,4.132441910938491e-07,234.04888655228416,2.2495119288508186e-06,4.4615524741726694e-07,233.57123603364448
114,2.347860307238282e-06,2021,3.456990248600911e-07,234.21350222935655,2.355858096082171e-06,3.638442992000293e-07,234.20120277586727,2.330934356629834e-06,3.814155772581537e-07,234.24042673520322,2.3201908075977664e-06,3.7565663216301057e-07,234.24551366695852,2.266562538439685e-06,3.939411296763087e-07,234.31323945230798,2.249803037078095e-06,4.132441910938491e-07,234.04888655228416
115,2.339285709101403e-06,2021,3.389324204233386e-07,234.443894477363,2.347860307238282e-06,3.456990248600911e-07,234.21350222935655,2.355858096082171e-06,3.638442992000293e-07,234.20120277586727,2.330934356629834e-06,3.814155772581537e-07,234.24042673520322,2.3201908075977664e-06,3.7565663216301057e-07,234.24551366695852,2.266562538439685e-06,3.939411296763087e-07,234.31323945230798
